N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"70,300",300,-0.42%,100,"4,196,757","5,969,783",51.23,"6,218,269",14.80,9.99,
2,SK하이닉스,"107,000","1,000",+0.94%,"5,000","778,963","728,002",47.27,"1,487,578",13.39,9.53,
3,NAVER,"407,000","4,500",-1.09%,100,"668,552","164,263",56.67,"167,090",4.05,15.22,
4,카카오,"128,000","2,000",-1.54%,100,"570,062","445,361",30.68,"1,858,312",119.29,2.70,
5,삼성바이오로직스,"857,000","8,000",-0.92%,"2,500","567,034","66,165",10.60,"22,388",169.37,N/A,
6,LG화학,"781,000","9,000",-1.14%,"5,000","551,326","70,592",47.36,"106,218",21.04,2.93,
7,삼성전자우,"66,200",400,-0.60%,100,"544,751","822,887",74.40,"552,721",13.94,N/A,
8,삼성SDI,"745,000","6,000",-0.80%,"5,000","512,296","68,765",45.40,"92,952",55.20,4.54,
9,현대차,"214,500",500,+0.23%,"5,000","458,318","213,668",28.81,"395,988",15.54,2.04,
10,기아,"88,400","1,400",+1.61%,"5,000","358,341","405,363",35.20,"2,044,358",10.32,5.05,
11,셀트리온,"206,500","2,000",-0.96%,"1,000","284,835","137,935",20.81,"212,125",48.42,16.68,
12,카카오뱅크,"57,800","2,200",-3.67%,"5,000","274,608","475,100",4.67,"998,739",187.06,5.08,
13,POSCO,"285,000","12,500",-4.20%,"5,000","248,482","87,187",53.86,"388,795",6.44,3.61,
14,현대모비스,"250,500","1,500",-0.60%,"5,000","237,457","94,793",34.70,"94,798",10.75,4.66,
15,KB금융,"54,600","1,400",-2.50%,"5,000","227,031","415,808",68.90,"664,127",5.38,8.53,
16,크래프톤,"457,500","10,500",-2.24%,100,"223,976","48,957",6.32,"99,205",39.39,61.86,
17,카카오페이,"171,500","2,500",+1.48%,500,"223,580","130,367",2.34,"1,214,517",-853.23,-17.97,
18,SK텔레콤,"309,500",0,0.00%,500,"223,026","72,060",43.91,0,11.75,6.44,
19,SK이노베이션,"232,500","7,000",-2.92%,"5,000","214,982","92,466",24.86,"288,269",-48.17,-13.58,
20,삼성물산,"115,000","1,500",-1.29%,100,"214,920","186,887",15.10,"97,388",13.12,3.81,
21,LG전자,"122,500",0,0.00%,"5,000","200,469","163,648",30.05,"263,899",14.82,13.23,
22,SK바이오사이언스,"258,500",0,0.00%,500,"197,752","76,500",5.96,"676,769",125.91,13.25,
23,신한지주,"37,200",750,-1.98%,"5,000","192,175","516,600",60.50,"997,013",4.81,8.20,
24,LG생활건강,"1,217,000","22,000",-1.78%,"5,000","190,073","15,618",44.31,"18,886",25.55,17.92,
25,SK,"245,000","4,500",-1.80%,200,"172,383","70,360",18.87,"68,199",15.81,1.11,
26,하이브,"377,000","20,500",+5.75%,500,"147,222","39,051",16.25,"406,964",134.12,12.52,
27,한국전력,"22,850",300,-1.30%,"5,000","146,689","641,964",14.71,"787,565",12.30,2.91,
28,LG,"92,700",400,-0.43%,"5,000","145,818","157,301",33.86,"59,887",5.81,7.50,
29,삼성생명,"67,900",200,-0.29%,500,"135,800","200,000",12.51,"104,201",7.75,3.53,
30,두산중공업,"26,050",200,-0.76%,"5,000","135,123","518,707",9.14,"10,259,289",-61.88,-37.20,
31,엔씨소프트,"602,000","7,000",+1.18%,500,"132,163","21,954",43.49,"321,620",32.31,20.83,
32,하나금융지주,"43,450","1,000",-2.25%,"5,000","130,455","300,242",68.11,"570,034",4.29,8.96,
33,삼성전기,"163,000","3,000",+1.88%,"5,000","121,751","74,694",30.71,"303,868",14.21,10.92,
34,삼성에스디에스,"155,000","2,000",-1.27%,500,"119,936","77,378",11.39,"26,575",18.61,6.71,
35,KT&G,"86,100",600,+0.70%,"5,000","118,209","137,292",36.62,"400,919",10.67,13.22,
36,포스코케미칼,"148,500","2,500",+1.71%,500,"115,033","77,463",7.14,"245,100",107.30,2.96,
37,S-Oil,"99,900",600,+0.60%,"2,500","112,470","112,583",78.34,"139,656",12.85,-13.07,
38,HMM,"26,650",350,-1.30%,"5,000","108,037","405,392",10.77,"1,335,141",16.88,8.93,
39,아모레퍼시픽,"184,500","2,500",-1.34%,500,"107,919","58,493",31.92,"74,245",85.61,0.78,
40,삼성화재,"225,000","4,000",-1.75%,500,"106,593","47,375",48.77,"49,525",10.66,4.96,
41,대한항공,"30,000",300,-0.99%,"5,000","104,346","347,821",11.61,"832,850",15.65,-7.22,
42,SK아이이테크놀로지,"146,000","6,000",-3.95%,"1,000","104,094","71,298",9.32,"278,072",95.99,11.00,
43,넷마블,"120,500","3,500",-2.82%,100,"103,574","85,954",23.21,"92,525",36.20,6.35,
44,우리금융지주,"13,400",200,-1.47%,"5,000","97,560","728,061",29.26,"1,260,283",4.68,5.87,
